0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
69453.78,0.43786,69453.77,4.34319,69453.79,0.0004,69453.76,0.00016,69454.0,0.0012,69453.3,0.00777,69454.79,0.003,69452.87,0.02016,69454.96,8e-05,69452.75,8e-05,69455.0,0.00128,69452.1,0.003,69455.26,0.00018,69450.36,0.003,69455.88,0.00011,69450.11,0.0003,69456.0,0.0012,69449.82,0.00808,69456.17,0.00041,69449.61,0.00864
69453.78,0.43834,69453.77,4.37577,69453.79,0.00064,69453.76,0.00016,69454.0,0.0012,69453.3,0.00793,69454.79,0.003,69452.75,8e-05,69454.96,8e-05,69452.1,0.003,69455.0,0.00128,69450.36,0.003,69455.26,0.00018,69450.11,0.0003,69455.88,0.00011,69449.82,0.00824,69456.0,0.0012,69449.62,0.00916,69456.17,0.00041,69449.61,0.0088
69461.3,1.4151,69461.29,3.48185,69461.31,0.0004,69461.28,0.00016,69461.39,8e-05,69460.8,0.003,69461.4,0.00502,69460.13,0.03557,69461.56,8e-05,69460.12,0.01469,69462.0,0.0012,69459.81,8e-05,69462.34,0.00015,69459.15,0.11828,69462.48,8e-05,69459.06,0.003,69462.49,0.00016,69457.32,0.003,69462.5,0.00021,69457.24,0.0003
69461.3,1.41518,69461.29,3.48549,69461.31,0.0004,69461.28,0.00016,69461.39,8e-05,69460.8,0.003,69461.4,0.00502,69460.52,8e-05,69461.56,8e-05,69460.13,0.03557,69462.0,0.0012,69460.12,0.01485,69462.34,0.00015,69459.81,8e-05,69462.48,0.00259,69459.15,0.11828,69462.49,0.00016,69459.06,0.003,69462.5,0.00021,69458.92,8e-05
69461.3,1.4155,69461.29,3.48338,69461.31,0.00056,69461.28,0.00016,69461.39,8e-05,69460.8,0.003,69461.4,0.00502,69460.52,8e-05,69461.56,8e-05,69460.13,0.03557,69462.0,0.0012,69460.12,0.01485,69462.34,0.00015,69459.81,8e-05,69462.48,0.00259,69459.15,0.11828,69462.49,0.00016,69459.06,0.003,69462.5,0.00021,69458.92,8e-05
69461.3,2.22858,69461.29,3.13788,69461.31,0.00056,69461.28,0.00016,69461.39,8e-05,69460.8,0.003,69461.4,0.00502,69460.52,8e-05,69461.56,8e-05,69460.24,0.00235,69461.58,0.13601,69460.13,0.03557,69462.0,0.0012,69460.12,0.01485,69462.34,0.00015,69459.83,8e-05,69462.48,0.00259,69459.81,8e-05,69462.49,0.00016,69459.15,0.11828
69461.3,3.57872,69461.29,0.03388,69461.4,0.00502,69461.28,0.00016,69461.56,8e-05,69460.52,8e-05,69461.57,0.05386,69460.24,0.00235,69461.58,0.13609,69460.14,8e-05,69462.0,0.0012,69460.13,8e-05,69462.22,0.05303,69460.12,0.01485,69462.27,0.00021,69459.83,8e-05,69462.34,0.00015,69459.81,8e-05,69462.48,0.00251,69459.05,8e-05
69456.43,5.70779,69456.42,0.77984,69457.32,0.003,69456.41,0.00016,69457.74,8e-05,69456.28,8e-05,69459.06,0.003,69455.26,8e-05,69459.81,8e-05,69454.94,0.00029,69459.82,0.25465,69454.31,8e-05,69459.84,8e-05,69454.0,8e-05,69460.23,0.35378,69453.99,8e-05,69460.24,0.04021,69453.81,8e-05,69460.25,0.02038,69453.8,8e-05
69456.43,5.70779,69456.42,0.78,69457.32,0.003,69456.41,0.00032,69457.74,8e-05,69456.28,8e-05,69459.06,0.003,69455.26,8e-05,69459.81,8e-05,69454.94,0.00029,69459.82,0.25465,69454.31,8e-05,69459.84,8e-05,69454.0,8e-05,69460.23,0.35378,69453.99,8e-05,69460.24,0.04021,69453.81,8e-05,69460.25,0.02038,69453.8,8e-05
69456.43,5.70788,69456.42,0.77564,69457.32,0.003,69456.41,0.00032,69457.74,8e-05,69456.28,8e-05,69459.06,0.003,69455.26,8e-05,69459.81,8e-05,69454.94,0.00029,69459.82,0.25465,69454.31,8e-05,69459.84,8e-05,69454.0,8e-05,69460.23,0.35378,69453.99,8e-05,69460.24,0.04021,69453.81,8e-05,69460.25,0.02038,69453.8,8e-05
69456.43,5.70788,69456.42,0.77561,69457.32,0.003,69456.41,0.00032,69457.74,8e-05,69456.28,8e-05,69459.06,0.003,69455.26,8e-05,69459.81,8e-05,69454.94,0.00029,69459.82,0.25465,69454.31,8e-05,69459.84,8e-05,69454.0,8e-05,69460.23,0.35378,69453.99,8e-05,69460.24,0.04021,69453.81,8e-05,69460.25,0.02038,69453.8,8e-05
69456.43,5.70788,69456.42,0.78197,69457.32,0.003,69456.41,0.00032,69457.74,8e-05,69456.28,8e-05,69458.09,0.0144,69455.26,8e-05,69459.05,0.0072,69454.94,0.00029,69459.06,0.003,69454.31,8e-05,69459.81,8e-05,69454.0,8e-05,69459.82,0.25465,69453.99,8e-05,69459.84,8e-05,69453.81,8e-05,69460.23,0.35378,69453.8,8e-05
69456.43,5.65004,69456.42,0.78491,69457.32,0.003,69456.41,0.00032,69457.74,8e-05,69456.28,8e-05,69458.09,0.0144,69455.26,8e-05,69458.43,8e-05,69454.94,0.00029,69459.05,0.0072,69454.31,8e-05,69459.06,0.003,69454.0,8e-05,69459.81,8e-05,69453.99,8e-05,69459.82,0.25465,69453.81,8e-05,69459.84,8e-05,69453.8,8e-05
69456.43,5.64245,69456.42,0.75605,69457.31,0.0072,69456.41,0.00032,69457.32,0.003,69456.28,8e-05,69457.74,8e-05,69455.26,8e-05,69458.09,0.0144,69454.94,0.00029,69458.43,8e-05,69454.31,8e-05,69459.05,0.0072,69454.0,8e-05,69459.06,0.003,69453.99,8e-05,69459.81,8e-05,69453.81,8e-05,69459.82,0.25465,69453.8,8e-05
69456.43,5.64974,69456.42,0.75557,69457.32,0.003,69456.41,0.00032,69457.74,8e-05,69456.28,8e-05,69458.09,0.0144,69455.26,8e-05,69458.43,8e-05,69454.94,0.00029,69459.05,0.0072,69454.31,8e-05,69459.06,0.003,69454.0,8e-05,69459.81,8e-05,69453.99,8e-05,69459.82,0.25465,69453.81,8e-05,69459.84,8e-05,69453.8,8e-05
